lad_code,lad_name,model_score
E07000171,Bassetlaw,-0.11172610832835564
E07000197,Stafford,-0.10044677793217086
E07000135,Oadby and Wigston,-0.0895305636889426
E06000052,Cornwall,-0.08327677761832553
E06000060,Buckinghamshire,-0.0698563083872788
E06000021,Stoke-on-Trent,-0.0623018618451647
E08000032,Bradford,-0.0482538789842355
E06000009,Blackpool,-0.04656728622885861
E07000128,Wyre,-0.0443672563430077
E06000027,Torbay,-0.04256825146711565
E07000117,Burnley,-0.026655723067814857
E06000032,Luton,-0.026612364490482543
E07000109,Gravesham,-0.01596750705068603
E08000033,Calderdale,-0.0017598264360035032
E08000015,Wirral,0.0022911640401037103
