council_id,council_name,apps_total,apps_decided,approval_rate,median_decision_days,commercial_apps
1,Bolton,1987,1866,0.8590568060021436,55,115
2,Bradford,4339,4200,0.7776190476190477,56.0,248
3,Bury,954,885,0.8983050847457628,52.0,76
4,Calderdale,1859,1714,0.8290548424737456,56.0,107
5,Doncaster,2108,1973,0.9143436391282311,41,143
6,Gateshead,876,793,0.9243379571248423,60.0,40
7,Knowsley,574,501,0.9421157684630739,56.0,45
8,North Tyneside,1257,1204,0.9435215946843853,53.0,57
9,Oldham,1308,1034,0.8752417794970987,56,89
10,Rochdale,1244,1155,0.8822510822510823,56.0,79
11,Salford,1828,1733,0.9094056549336411,56.0,99
12,Sandwell,1469,1382,0.8892908827785818,53.0,85
13,Sefton,1567,1494,0.9062918340026773,53,94
14,Solihull,2136,2009,0.9054255848680935,56.0,100
15,St Helens,854,777,0.9395109395109396,55,53
16,Stockport,3460,3293,0.9392651078044336,41,149
17,Trafford,2539,2390,0.8443514644351464,53.0,115
18,Wakefield,1952,1798,0.8898776418242491,56,130
19,Wigan,1424,1274,0.868916797488226,65,78
20,Wirral,1385,1294,0.8547140649149922,61.0,111
22,Bexley,2215,2053,0.8436434486117876,56,149
23,Bromley,4575,4390,0.8029612756264237,56.0,205
24,Enfield,3589,3482,0.7754164273406089,49,182
25,Royal Greenwich,3666,3398,0.8081224249558564,56,195
26,Lambeth,3549,3262,0.8359901900674432,56.0,464
27,Lewisham,3375,3249,0.8085564789165898,55.0,185
28,Newham,2389,2208,0.8201992753623188,55.0,173
29,Southwark,3587,3256,0.9348894348894349,48,667
30,Sutton,2030,1913,0.8609513852587559,49,70
31,Tower Hamlets,2161,2015,0.8779156327543425,55.0,286
32,Adur and Worthing,1602,1520,0.9407894736842105,56.0,98
33,Aylesbury Vale,3348,2995,0.8617696160267112,53.0,177
34,Babergh and Mid-Suffolk,4069,3740,0.9120320855614973,51,182
35,Basildon,1398,1285,0.8389105058365759,52,81
36,Basingstoke and Deane,1972,1782,0.8905723905723906,55.0,133
37,Bassetlaw,1144,1062,0.7674199623352166,56.0,103
38,Blaby,871,777,0.9382239382239382,56,41
39,Bolsover,548,520,0.875,49.0,42
40,Braintree,2102,1675,0.8674626865671642,52.0,108
41,Brentwood,1350,1291,0.8814872192099148,59.0,59
43,Burnley,492,435,0.8206896551724138,55.0,44
44,Carlisle,949,847,0.9822904368358913,53,75
45,Castlepoint,714,674,0.8323442136498517,41,23
46,Chelmsford,2435,1961,0.8679245283018868,51,139
47,Cheltenham,1925,1816,0.9581497797356828,37,88
48,Chesterfield,696,653,0.9249617151607963,56.0,88
49,Chichester,1825,1701,0.8253968253968254,53,103
51,Chorley,1044,984,0.9410569105691057,56,76
52,Corby,374,320,0.903125,53,17
53,Cotswold,3148,2964,0.949055330634278,47.0,140
54,Craven,880,828,0.9371980676328503,54.0,44
55,Dacorum,2128,1951,0.8780112762685802,52.0,120
56,Dartford,1072,968,0.8140495867768595,56.0,89
57,Derbyshire Dales,1116,1061,0.8887841658812441,55,60
58,Dover,1684,1547,0.9172592113768584,55.0,121
59,East Cambridgeshire,1491,1380,0.9159420289855073,53,79
60,East Devon,2376,2147,0.8840242198416395,55,114
61,East Hampshire,1189,993,0.8982880161127895,67,57
62,East Hertfordshire,2370,2135,0.8304449648711943,56,96
63,East Lindsey,1450,1352,0.9571005917159763,55.0,107
64,East Northamptonshire,1089,1001,0.8121878121878122,56,95
65,East Suffolk,3507,3230,0.9362229102167182,56,288
66,Lewes,888,851,0.9095182138660399,56.0,40
67,Epsom Ewell,1334,1279,0.8522283033620016,54,42
68,Exeter,1242,1153,0.9141370338248048,50,77
69,Fenland,949,894,0.8982102908277405,57,89
70,Folkestone and Hythe,1440,1242,0.8470209339774557,48,58
71,Forest of Dean,1041,966,0.906832298136646,55,58
72,Fylde,752,597,0.9530988274706867,53,36
73,Gedling,804,735,0.9387755102040817,55.0,32
74,Gloucester City,747,663,0.8506787330316742,52,68
75,Gosport,343,326,0.9723926380368099,49,20
76,Gravesham,1104,1070,0.7747663551401869,52,79
77,Guildford,2917,2661,0.8553175497933108,56,107
78,Hambleton,1822,1633,0.9436619718309859,56,91
79,Harborough,1572,1425,0.9192982456140351,55,45
80,Harlow,507,481,0.8773388773388774,50.0,38
81,Harrogate,6323,5835,0.921165381319623,47.0,457
82,Hart,1981,1824,0.8985745614035088,52,98
83,Hastings,709,665,0.8781954887218045,49.5,72
84,Havant,891,782,0.928388746803069,63.0,38
85,Hinckley and Bosworth,1108,1010,0.8613861386138614,55,45
86,Horsham,2348,2196,0.8888888888888888,56,107
87,Huntingdonshire,2599,2323,0.9044339216530348,57,91
89,Lancaster,1625,1513,0.8717779246530073,54,74
91,Lichfield,833,730,0.8410958904109589,56.0,49
92,Lincoln,783,740,0.9540540540540541,39.0,39
94,Maldon,1128,1038,0.8516377649325626,56,85
95,Mansfield,610,551,0.9673321234119783,56.0,74
96,Melton,738,650,0.9676923076923077,64,17
97,Mendip,1907,1777,0.8998311761395611,55.0,87
98,Mid Devon,1225,1070,0.9317757009345794,55,67
100,Mid Sussex,2159,1994,0.9317953861584755,50,96
101,North East Derbyshire,992,926,0.9006479481641468,55.0,42
102,North Hertfordshire,2169,2060,0.9325242718446602,46,99
103,North Kesteven,1242,1181,0.9669771380186283,49,92
104,North Norfolk,2539,2365,0.9496828752642706,42.0,161
105,North West Leicestershire,1363,1123,0.9447907390917186,55,68
106,New Forest,1266,1008,0.9097222222222222,53.0,96
107,Newark and Sherwood,2054,1950,0.8948717948717949,44,111
108,Newcastle-Under-Lyme,995,857,0.9556592765460911,53.5,47
109,Norwich,1195,1101,0.9509536784741145,48,80
110,Oadby and Wigston,470,430,0.7813953488372093,56.0,14
111,Oxford,2649,2443,0.8837494883340156,54.0,128
112,Pendle,802,756,0.8558201058201058,49,44
113,Bromsgrove and Redditch,1118,1038,0.9084778420038536,53,53
114,Reigate and Banstead,2596,2478,0.890637610976594,55,155
115,Richmondshire,656,591,0.8849407783417935,74,41
116,Rossendale,515,463,0.8747300215982722,55,34
117,Rushcliffe,1473,1304,0.8895705521472392,56.0,67
118,Rushmoor,669,614,0.9674267100977199,43.0,55
119,Ryedale,596,558,0.9480286738351255,56,40
120,Buckinghamshire,3727,3413,0.778493993554058,56.0,129
121,South Norfolk and Broadland,3664,3288,0.9555961070559611,50.0,139
122,South Ribble,884,850,0.9541176470588235,47.0,46
123,South Somerset,2237,2042,0.9529872673849168,41.0,117
124,South Staffordshire,1144,1077,0.8848653667595172,56.0,52
125,Scarborough,881,818,0.9205378973105135,59,46
126,Selby,1104,1026,0.8430799220272904,56,64
127,Sevenoaks,3249,3103,0.882694166935224,53.0,120
128,Stafford,1019,899,0.8398220244716351,75.0,61
129,Stevenage,555,518,0.9498069498069498,49.0,38
130,Stroud,2039,1809,0.8717523493642897,51.0,73
131,Surrey Heath,1528,1405,0.8647686832740213,54,79
132,Maidstone and Swale,3985,3617,0.8487696986452862,56,263
133,Tendring,1785,1660,0.8734939759036144,48,86
134,Test Valley,2147,1903,0.9379926431949553,49.0,93
135,Tewkesbury,1254,1081,0.9084181313598519,61,59
136,Thanet,1332,1244,0.8979099678456591,56,149
137,Tonbridge and Malling,2150,1954,0.9124872057318322,55,145
138,Torridge,1109,998,0.9098196392785571,54.0,52
139,Tunbridge Wells,2654,2554,0.9506656225528582,52.0,92
140,Uttlesford,2617,2462,0.8537774167343624,52.0,114
141,Warwick,1628,1425,0.9122807017543859,56,71
142,Wellingborough,717,661,0.8895612708018155,54.0,32
143,West Oxfordshire,1785,1672,0.9258373205741627,55,80
144,West Suffolk,2135,1931,0.9419989642672191,56,138
145,Winchester,2249,2059,0.9553181155900923,53.0,90
146,Woking,1460,1352,0.8076923076923077,56,58
148,Wycombe,2921,2720,0.7665441176470589,56.0,158
149,Wyre,925,806,0.8846153846153846,68,66
150,Bedford,2308,2179,0.8357044515832951,56,120
151,Blackpool,532,482,0.8340248962655602,53.0,44
152,Bracknell Forest,1169,954,0.9266247379454927,64.0,43
153,Brighton and Hove,3017,2820,0.902127659574468,56,223
154,Bristol,4783,4452,0.9146451033243486,45.0,517
155,Cheshire West and Chester,3476,3096,0.9156976744186046,63,173
156,Cornwall,10041,9293,0.7657376519961261,51.0,574
157,Durham,3105,2678,0.9275578790141897,56.0,182
158,Darlington,901,828,0.9492753623188406,42,132
159,Derby,1711,1561,0.934657270980141,58.0,213
160,East Riding of Yorkshire,3886,3485,0.879196556671449,50.0,184
161,Isle of Wight,1852,1764,0.8973922902494331,55,73
162,Luton,1259,1181,0.7950889077053345,56,116
163,Medway,1987,1864,0.9093347639484979,52,159
164,Middlesbrough,502,460,0.8347826086956521,55,32
165,Milton-Keynes,1414,1317,0.8625664388762339,51,95
166,North East Lincolnshire,852,771,0.9662775616083009,56.0,67
167,North Somerset,2395,2251,0.8685028876055086,55,148
168,Northumberland,4019,3738,0.900749063670412,52,196
169,Nottingham City,1873,1588,0.9420654911838791,56,138
170,Peterborough,1589,1466,0.9017735334242838,55,87
171,Plymouth,1512,1446,0.8554633471645919,52,93
172,Portsmouth,1142,1031,0.8748787584869059,56.0,68
173,Rutland,1163,1040,0.8884615384615384,52,60
174,Shropshire,4653,4421,0.8988916534720651,44,264
175,Southampton,1542,1472,0.890625,54,115
176,Southend on Sea,1777,1502,0.8155792276964048,56.0,132
177,South Gloucestershire,2864,2655,0.8587570621468926,54.0,211
178,Stockton-On-Tees,1051,938,0.9722814498933902,54.0,77
179,Stoke-on-Trent,796,723,0.7994467496542186,56,73
180,Swindon,1383,1325,0.8981132075471698,51,134
181,Thurrock,1258,1186,0.8431703204047217,55.0,109
182,Torbay,1096,1030,0.8223300970873786,51,70
